"id","trial","condition","acc","obs","bin0","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"3af2feea970e47ffc9e6ab715cba94d0ec8c694d0f9ae5d480213d627397b312",13,61,6,1,0.01,0.23,0.5,0.99,0.34,0.7,0.5,0.77,0.24,0.43,0.99
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",1,90,9,0,0.29,0.78,0,0.03,0.04,0.06,0.01,0.04,0.01,0.06,0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",2,31,3,1,0.28,0.72,0.74,0.71,0.76,0.76,0.29,0.24,0.02,0.04,0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",3,51,5,1,0.75,0.74,0.75,0.75,0.74,0.28,0,0.06,0.01,0.04,0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",4,43,4,3,0.27,0.73,0.74,0.73,0.73,0.67,0.23,0.02,0,0.02,0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",5,22,2,2,0.24,0.72,0.74,0.69,0.69,0.67,0.71,0.75,0.26,0.01,0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",6,55,5,5,0.29,0.74,0.73,0.73,0.7,0.21,0.02,0.03,0.06,0,0.04
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",7,61,6,1,0.73,0.73,0.72,0.75,0.73,0,0.03,0.01,0.03,0.01,0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",8,75,7,5,0.75,0.75,0.75,0.75,0.04,0.03,0.03,0,0.01,0.03,0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",9,102,10,2,0.98,0.01,0.04,0.01,0.01,0.04,0.03,0.02,0.03,0.02,0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",10,88,8,8,0.79,0.75,0.81,0.01,0.03,0.03,0.06,0.01,0.02,0.04,0.03
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",11,99,9,9,0.7,0.71,0.01,0.02,0.04,0.01,0.03,0.03,0.04,0,0.01
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",12,71,7,1,0.78,0.74,0.75,0.74,0,0.04,0.02,0.02,0.03,0.03,0.04
"63f8bb8c46301bf14869e879d0fc1b82e7e643deb9340b95c3f532471a23d5bb",13,50,5,0,0.7,0.74,0.73,0.71,0.71,0.72,0.02,0.03,0.03,0.01,0.01
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",1,109,10,9,0,0,0,0,0,0,0,0,0,0.99,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",2,73,7,3,0,0,0,0.21,0.75,0.55,0.12,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",3,70,7,0,0.63,0.6,0.27,0.17,0,0,0,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",4,104,10,4,0,0,0,0,0.99,0,0,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",5,62,6,2,0,0,0.35,0.66,0.56,0.31,0.16,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",6,90,9,0,0.69,0.35,0,0,0,0,0,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",7,50,5,0,0.32,0.61,0.44,0.31,0.26,0.17,0,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",8,51,5,1,0,0.28,0.71,0.6,0.33,0.17,0.15,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",9,96,9,6,0,0,0,0,0,0,0.28,0.72,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",10,65,6,5,0,0,0,0,0,0.1,0.23,0.7,0.58,0.28,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",11,84,8,4,0,0,0,0,0.27,0.67,0.29,0,0,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",12,53,5,3,0,0,0,0.15,0.31,0.51,0.68,0.51,0.15,0,0
"ed9db4418272e3c3262361ecbb38aa1b53281cb2317cc6a3d33c1b86b080948a",13,32,3,2,0,0,0.14,0.21,0.24,0.32,0.44,0.68,0.44,0.19,0
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",1,81,8,1,0.02,0.8,0.78,0.25,0.02,0.04,0.06,0.05,0.04,0.04,0.04
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",2,74,7,4,0.04,0.04,0.01,0.04,0.69,0.73,0.64,0.48,0.33,0.27,0.29
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",3,70,7,0,0.61,0.71,0.29,0.23,0.05,0.04,0.04,0.04,0.04,0.05,0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",4,76,7,6,0.02,0.05,0.01,0.04,0.04,0.02,0.72,0.66,0.61,0.22,0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",5,107,10,7,0.02,0,0,0,0,0,0,0.99,0,0,0
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",6,85,8,5,0.04,0.01,0.05,0.04,0.04,0.86,0.61,0.31,0.04,0.04,0.06
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",7,11,1,1,0.03,0.51,0.65,0.67,0.66,0.7,0.78,0.78,0.71,0.64,0.52
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",8,96,9,6,0.01,0.04,0.04,0.04,0.02,0.02,0.82,0.61,0.02,0.02,0.02
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",9,87,8,7,0.04,0.03,0.04,0.04,0.03,0.04,0.02,0.83,0.59,0.51,0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",10,93,9,3,0.04,0.04,0.04,0.93,0.62,0.04,0.04,0.02,0.02,0.05,0.05
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",11,88,8,8,0.03,0.04,0.03,0.06,0,0,0.05,0.04,0.9,0.71,0.53
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",12,99,9,9,0.04,0.05,0.05,0.04,0.02,0.01,0.01,0.02,0.04,0.85,0.4
"9a20f659c7afbaa65d26fbd85a95fea112e3403c23b1c48c37a7e311b63d6349",13,60,6,0,0.84,0.73,0.67,0.56,0.4,0.04,0.02,0.04,0.05,0.04,0.02
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",1,11,1,1,0.24,0.25,0.49,0.49,0.73,0.72,0.3,0.29,0.27,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",2,30,3,0,0.02,0.27,0.25,0.26,0.73,0.72,0.72,0.72,0,0.02,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",3,77,7,7,0.73,0.72,0.25,0.24,0,0,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",4,81,8,1,0.24,0.23,0.23,0,0,0.01,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",5,87,8,7,0.24,0.24,0.23,0,0,0,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",6,108,10,8,0.99,0,0,0,0,0,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",7,64,6,4,0.99,0.75,0.25,0.25,0.24,0,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",8,74,7,4,0.26,0.75,0.23,0.24,0,0,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",9,109,10,9,0.76,0.26,0,0,0,0,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",10,63,6,3,0.26,0.27,0.75,0.73,0.21,0,0,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",11,40,4,0,0.22,0.73,0.73,0.73,0.72,0.74,0.22,0,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",12,33,3,3,0.25,0.73,0.73,0.73,0.24,0.23,0.23,0.24,0,0,0
"2b296dd52a6661281c97b6efd12ac4a5afd7e072256fb9a458a37f0387e7f8a8",13,84,8,4,0.26,0.72,0.72,0,0,0,0,0,0,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",1,93,9,3,0,0,0,0.71,0.72,0,0,0,0,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",2,71,7,1,0,0.7,0.7,0.7,0.51,0,0,0,0,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",3,10,1,0,0.22,0.45,0.46,0.7,0.69,0.69,0.68,0.48,0.24,0.23,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",4,86,8,6,0,0,0,0,0,0,0.69,0.68,0.67,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",5,73,7,3,0,0,0,0.29,0.49,0.7,0.47,0,0,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",6,1010,10,10,0,0,0,0,0,0,0.01,0,0,0,0.93
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",7,74,7,4,0.01,0.02,0,0,0.67,0.66,0.47,0.46,0,0.01,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",8,66,6,6,0,0,0,0,0,0,0.72,0.71,0.5,0.5,0.23
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",9,51,5,1,0,0.23,0.21,0.5,0.5,0.5,0.18,0,0,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",10,98,9,8,0,0,0,0,0,0,0,0,0.7,0.46,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",11,31,3,1,0,0.27,0.27,0.5,0.5,0.7,0.71,0.5,0.47,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",12,96,9,6,0,0,0,0,0,0,0.7,0.44,0,0,0
"5c53835ebe84862a7a34137b9a41a536faecac316b5c998f0f51572aa20b4098",13,100,10,0,0.99,0,0,0,0,0,0,0,0,0.01,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",1,41,4,1,0.06,0.19,0.38,0.57,0.57,0.38,0.1,0,0.05,0,0.05
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",2,85,8,5,0,0,0,0,0,0.5,0.63,0.62,0.17,0.07,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",3,51,5,1,0,0.5,0.6,0.67,0.6,0.39,0.28,0,0.09,0,0.09
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",4,109,10,9,0,0.01,0.01,0,0.02,0,0,0.06,0,0.95,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",5,97,9,7,0,0.02,0,0.02,0.02,0.04,0,0.98,0.74,0,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",6,84,8,4,0,0.03,0,0.01,0.99,0.74,0.7,0.03,0,0,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",7,50,5,0,0.72,0.66,0.67,0.62,0.72,0.67,0,0,0,0,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",8,10,1,0,0.28,0.63,0.66,0.26,0.4,0.3,0.26,0.41,0.58,0.62,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",9,20,2,0,0.23,0.21,0.16,0.49,0.5,0.5,0.5,0.5,0.5,0.03,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",10,61,6,1,0.5,0.5,0.5,0.5,0.23,0.3,0,0,0.02,0,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",11,102,10,2,0,0.01,0.99,0,0,0,0,0,0,0,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",12,52,5,2,0,0,0.99,0.5,0.5,0.5,0.22,0.22,0,0,0
"cd54988240c9f080b67b1ee06155362e4cac16a02fc7001b8770436bcfd763d1",13,33,3,3,0,0,0,0.99,0.5,0.5,0.5,0.5,0.2,0.2,0.22
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",1,76,7,6,0.04,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.23,0.21
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",2,106,10,6,0,0.99,0.99,0.99,0.99,0.99,0.99,0,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",3,96,9,6,0,0.99,0.99,0.99,0.99,0.99,0.99,0.76,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",4,71,7,1,0,0.99,0.75,0.72,0,0,0,0,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",5,86,8,6,0,0.98,0.99,0.99,0.99,0.99,0.99,0.71,0.2,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",6,32,3,2,0,0.99,0.99,0.99,0.73,0.73,0.28,0.27,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",7,97,9,7,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.77,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",8,50,5,0,0.26,0.99,0.99,0.3,0.31,0.29,0,0,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",9,51,5,1,0,0.99,0.74,0.75,0.27,0.29,0.31,0,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",10,85,8,5,0,0.99,0.99,0.99,0.99,0.99,0.77,0.26,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",11,102,10,2,0,0.99,0.99,0,0,0,0,0,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",12,93,9,3,0,0.99,0.99,0.99,0.28,0,0,0,0,0,0
"e272d2ff94c112e2989d42d96106267cbf82d63408b8c38160f71dd340b2c53f",13,70,7,0,0.27,0.99,0.75,0.25,0,0,0,0,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",1,73,7,3,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",2,65,6,5,0.23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",3,105,10,5,0.98,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",4,95,9,5,0.95,0.99,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",5,40,4,0,0.5,0.5,0.5,0.5,0.5,0.74,0.51,0.5,0.5,0.51,0.5
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",6,52,5,2,0.5,0.23,0.5,0.73,0.5,0.5,0,0,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",7,63,6,3,0.5,0.5,0.5,0.5,0.73,0.73,0,0,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",8,94,9,4,0.74,0.7,0,0,0,0,0,0,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",9,82,8,2,0.71,0.69,0.69,0,0,0,0,0,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",10,31,3,1,0.73,0.74,0.74,0.74,0.74,0.71,0.74,0.69,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",11,109,10,9,0.97,0,0,0,0,0,0,0,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",12,100,10,0,0.95,0,0,0,0,0,0,0,0,0,0
"7daaf00a2557dd62c1ac48dd1d5d8f39e77421309500f6904e68baa0c926eb5e",13,80,8,0,0.73,0.74,0.72,0,0,0,0,0,0,0,0
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",1,98,9,8,0,0,0,0,0,0,0,0,0.42,0.62,0.99
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",2,95,9,5,0,0,0,0,0,0.96,0.73,0.62,0.5,0.5,0.99
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",3,76,7,6,0,0,0,0,0,0,0.75,0.63,0.51,0.52,0.55
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",4,1010,10,10,0,0,0,0,0,0,0,0,0,0,0.99
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",5,104,10,4,0,0,0,0,0.99,0,0,0,0,0,0
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",6,96,9,6,0,0,0,0,0,0,0.99,0.7,0.53,0,0
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",7,42,4,2,0,0,0.99,0.7,0.62,0.55,0.42,0.37,0.3,0.27,0.27
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",8,81,8,1,0,0.99,0.69,0.57,0.41,0.31,0.25,0.15,0.12,0.09,0.11
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",9,80,8,0,0.99,0.68,0.56,0,0,0,0,0,0,0,0
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",10,104,10,4,0,0,0,0,0.99,0.7,0.55,0.41,0.17,0.08,0
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",11,43,4,3,0,0,0,0.99,0.74,0.57,0.42,0.29,0.21,0.14,0.11
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",12,88,8,8,0,0,0,0,0,0,0,0,0.99,0.74,0.6
"ddf95f4f17779ba4f7a48626e4d3c66f086eb2b3aa844a01aac1be198ea92cbd",13,93,9,3,0,0,0,0.99,0.69,0.44,0.27,0.22,0.17,0.17,0.09
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",1,44,4,4,0.01,0,0,0,0,0.65,0.66,0,0,0,0
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",2,101,10,1,0,0.99,0,0.01,0.04,0.02,0.03,0,0.01,0.01,0.01
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",3,30,3,0,0.01,0.01,0.5,0.48,0.5,0.69,0.65,0,0,0,0
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",4,77,7,7,0,0,0.03,0.01,0.01,0.03,0.05,0.48,0.24,0.25,0.69
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",5,80,8,0,0.71,0.26,0.29,0.01,0.01,0.01,0.03,0.02,0.02,0.03,0.04
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",6,61,6,1,0,0.3,0.3,0.5,0.5,0.5,0.01,0.01,0.03,0.03,0.01
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",7,63,6,3,0.02,0.02,0.26,0.5,0.76,0.5,0.5,0.27,0.04,0.03,0.01
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",8,104,10,4,0.03,0.06,0.06,0.07,0.94,0.06,0.05,0.01,0.06,0.03,0.04
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",9,55,5,5,0.04,0.01,0.03,0.04,0,0.23,0.23,0.5,0.49,0.76,0.78
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",10,88,8,8,0.06,0.05,0.04,0.02,0.02,0.03,0.03,0.5,0.5,0.5,0.72
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",11,42,4,2,0.05,0.03,0.28,0.26,0.5,0.75,0.5,0.5,0.5,0.04,0.03
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",12,65,6,5,0.06,0.04,0.06,0.05,0.03,0.04,0.5,0.5,0.31,0.28,0.03
"6aed9826b725fc2df4b24fa4b6597410ef9e0fac564329902751b82dfee3f67d",13,21,2,1,0.03,0.29,0.27,0.27,0.28,0.75,0.76,0.77,0.22,0.21,0.18
