"value","bin","mean","sd","sem"
40,5,0.122137797176211,0.0368526772380332,0.000364877992455775
40,6,0.100634954043783,0.032880676488851,0.000325551252364862
40,7,0.0230612404863223,0.0385189048776146,0.000381375295817966
40,8,0.0200634462835357,0.0337630122395474,0.000334287249896509
40,9,0.0221121457659396,0.0377246891732323,0.000373511773992399
40,10,0.0229134845829575,0.0388429080810132,0.000384583248326863
41,0,0.0296283029124155,0.0479868422297342,0.000475117249799349
41,1,0.123992047383441,0.0586780577563189,0.000580970868874445
41,2,0.139550279517842,0.0504429261507178,0.000499434912383345
41,3,0.158022145778273,0.05031621946156,0.000498180390708515
41,4,0.159935556166419,0.0531393918497106,0.000526132592571392
41,5,0.133063134287875,0.040411139895178,0.000400110295991862
41,6,0.0981277265523207,0.0390347218853602,0.000386482394904557
41,7,0.0701879149704362,0.0432801843190497,0.000428516676426234
41,8,0.0349536985802057,0.0407847977529026,0.00040380987874161
41,9,0.029597113448382,0.0361501433198002,0.000357922211087131
41,10,0.0229420804023904,0.0318876326423542,0.000315719135072814
42,0,0.0239706862019447,0.0484207139231082,0.000479413009139685
42,1,0.0261668702169435,0.0491323645344096,0.000486459054796134
42,2,0.156850052852858,0.133302408750886,0.00131982582921669
42,3,0.150520763395606,0.0794118449500288,0.000786255890594345
42,4,0.154442504221485,0.0594183884058959,0.0005883008753059
42,5,0.137420139391256,0.0576950706330871,0.000571238323099872
42,6,0.120028988694806,0.0506973919260295,0.000501954375505243
42,7,0.0987700610883958,0.0452423710052309,0.000447944267378523
42,8,0.0880639312106744,0.0471670841678396,0.000467000833344946
42,9,0.0229650783340301,0.0342292726460575,0.000338903689564926
42,10,0.0208009243919997,0.0334466537187369,0.000331154987314227
43,0,0.0145901100276626,0.0353068215456718,0.000349572490551206
43,1,0.0339384938031314,0.0659250473383066,0.000652723240973333
43,2,0.0405510506076269,0.0815244470114472,0.000807172742687596
43,3,0.149025394199882,0.0843934907954805,0.000835579116786936
43,4,0.140324751623803,0.0347479386838207,0.000344038996869512
43,5,0.163820048965502,0.0548875905507728,0.000543441490601711
43,6,0.150550220901846,0.0616605071041277,0.000610500070337898
43,7,0.127605147310968,0.0694170893309657,0.000687297914167977
43,8,0.0952514540984159,0.053257334052847,0.000527300337156901
43,9,0.0690446423359222,0.050243263562968,0.000497458055078891
43,10,0.0152986861252392,0.0279589279790918,0.000276821069099919
44,0,0.0179994995943198,0.0478861462354139,0.000474120259756574
44,1,0.0316410572369857,0.0721493068032005,0.000714349572308916
44,2,0.0274598700785197,0.0614536338582864,0.000608451820379074
44,3,0.0260153247847733,0.0520595647497871,0.000515441235146407
44,4,0.139404811512321,0.0688321625716938,0.00068150656011578
44,5,0.163686802934008,0.0898854048471845,0.00088995450343747
44,6,0.1603600098637,0.0862208784539595,0.000853672063900589
44,7,0.131407065930324,0.0568267553528038,0.000562641142106968
44,8,0.11862085800597,0.0540438708328658,0.000535087830028374
44,9,0.103137701529499,0.0593500490435373,0.000587624247955815
44,10,0.0802669985295805,0.0559962308172028,0.000554418126902998
50,0,0.128724377384328,0.0676275178735158,0.000669579384886295
50,1,0.157002195507039,0.0736159792877985,0.000728871082057411
50,2,0.162776065742676,0.0649503672299627,0.000643072942870918
50,3,0.152809585544578,0.0718778538479216,0.000711661919286353
50,4,0.133671895618171,0.0590067966972957,0.000584225709874214
50,5,0.15518413770737,0.129480617910417,0.00128198631594472
50,6,0.016279183942504,0.0277037198014632,0.000274294255460032
50,7,0.0376919466940287,0.112315556600402,0.00111203521386536
50,8,0.0281874771278507,0.0777404836761501,0.000769707759169803
50,9,0.0153489641805957,0.0328562193878463,0.000325309102849963
50,10,0.0123241705508596,0.0223226614034048,0.000221016449538662
51,0,0.0264070985028559,0.0608741221237837,0.000602714080433502
51,1,0.177351953611238,0.0879056040272162,0.000870352515120953
51,2,0.194083844837215,0.0850904373247449,0.000842479577472722
51,3,0.177343511519088,0.065152590136779,0.000645075149869099
51,4,0.145336620515685,0.0438817867476581,0.000434473136115427
51,5,0.106139031330938,0.0471257104489413,0.000466591192563775
51,6,0.0700973332676182,0.0390321107839789,0.000386456542415632
51,7,0.0269955145610031,0.049388892345617,0.00048899893411502
51,8,0.029274411229218,0.0523683184457088,0.00051849820243276
51,9,0.024767070563485,0.0438255299633744,0.000433916138251232
51,10,0.0222036100616564,0.0402297472606661,0.000398314329313526
52,0,0.0286620559607316,0.0527983906697969,0.000522756343265316
52,1,0.0270606266032876,0.046460677103495,0.000460006703995
52,2,0.198978740447142,0.11379235388858,0.00112665696919386
52,3,0.189745950006188,0.0643816916923919,0.00063744249200388
52,4,0.165556584398899,0.0446152033649102,0.000441734686781289
52,5,0.167161728873148,0.0422833932068261,0.000418647457493328
52,6,0.113843365939134,0.0658848902447541,0.000652325645987665
52,7,0.0803394100232021,0.0501194465191247,0.00049623214375371
