"id";"itemTime";"trialnumber";"kind";"expression";"access";"observation";"state";"RT";"language";"comments";"engagement";"difficulty"
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";5;"c";"probNot";7;4;NA;8571;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";6;"f";"cerNot";NA;NA;5;7559;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";7;"c";"cerNot";8;5;NA;11299;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";8;"f";"probNot";NA;NA;5;4660;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";9;"c";"cer";7;1;NA;9803;"English";NA;8;5
"6a65e0cfdca2ddf585bbb1246260ff1320825aa236e947fca7cdbf00724eec22";"1,48E+12";10;"f";"prob";NA;NA;5;3483;"English";NA;8;5
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";1;"c";"poss";4;2;NA;37287;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";2;"f";"cer";NA;NA;5;11633;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";3;"c";"cerNot";5;1;NA;13658;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";4;"f";"cerNot";NA;NA;2;10217;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";5;"c";"prob";4;3;NA;24707;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";6;"f";"prob";NA;NA;7;9632;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";7;"c";"probNot";6;2;NA;28888;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";8;"f";"probNot";NA;NA;4;9433;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";9;"c";"cer";6;5;NA;11295;"English";NA;8;10
"efa4da8a5f44ae4b8c79be93792301365ecf39dbf3b89898dc8cc6e46dbf5e38";"1,48E+12";10;"f";"poss";NA;NA;9;5131;"English";NA;8;10
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";1;"c";"prob";7;3;NA;132302;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";2;"f";"cer";NA;NA;5;11351;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";3;"c";"probNot";7;5;NA;54950;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";4;"f";"cerNot";NA;NA;5;25756;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";5;"c";"cer";9;1;NA;70444;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";6;"f";"poss";NA;NA;5;7454;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";7;"c";"cerNot";9;5;NA;41181;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";8;"f";"prob";NA;NA;5;3342;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";9;"c";"poss";4;2;NA;27509;"Engish";NA;9;3
"6505c82cfa3c2f5469351f38a79ed7fdd58058938c8d65a23d5568ff89b1e830";"1,48E+12";10;"f";"probNot";NA;NA;5;4429;"Engish";NA;9;3
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";1;"c";"probNot";7;5;NA;25469;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";2;"f";"probNot";NA;NA;5;6380;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";3;"c";"cer";5;0;NA;11554;"English";NA;8;5
"f775f3c915672b672e357d1095e38de7059d185165c75c0e83b65b448e75eb9f";"1,48E+12";4;"f";"cer";NA;NA;5;3261;"English";NA;8;5
