"id","itemTime","trialnumber","kind","expression","access","observation","state","RT","language","comments","engagement","difficulty"
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203523066,7,"c","cerPos",7,5,NA,11863,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480203526586,8,"f","mightUnlik",NA,NA,7,3519,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204934911,9,"c","isPos",6,3,NA,1408322,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204937395,10,"f","cerPos",NA,NA,5,2478,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204944489,11,"c","probUnlik",5,2,NA,7092,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204947437,12,"f","probUnlik",NA,NA,4,2947,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204952883,13,"c","isUnlik",6,2,NA,5444,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204955917,14,"f","isUnlik",NA,NA,4,3033,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204960998,15,"c","probLik",5,3,NA,5080,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204962575,16,"f","isPos",NA,NA,6,1573,"English","Nice study!",8,6
"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c",1480204968219,17,"c","mightLik",4,2,NA,5640,"English","Nice study!",8,6
