"X";"id";"itemTime";"trialnumber";"kind";"expression";"access";"observation";"state";"RT";"value"
83;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204944489;11;"c";"is_probably unlikely";5;2;NA;7092;52
84;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204947437;12;"f";"is_probably unlikely";NA;NA;4;2947;NA
85;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204952883;13;"c";"is unlikely";6;2;NA;5444;62
86;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204955917;14;"f";"is unlikely";NA;NA;4;3033;NA
87;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204960998;15;"c";"is_probably likely";5;3;NA;5080;53
88;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204962575;16;"f";"is possible";NA;NA;6;1573;NA
89;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204968219;17;"c";"might_be likely";4;2;NA;5640;42
90;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204971328;18;"f";"is likely";NA;NA;5;3108;NA
91;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204980446;19;"c";"might_be unlikely";7;3;NA;9115;73
92;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204983476;20;"f";"is_probably likely";NA;NA;4;3028;NA
93;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204992356;21;"c";"is_certainly unlikely";6;1;NA;8879;61
94;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204994129;22;"f";"is_probably possible";NA;NA;3;1772;NA
95;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480204998959;23;"c";"is likely";6;4;NA;4827;64
96;"4758588fcd27f8ae2811e527606dfa23bdf5ab342604c56f26a6c8d986565d7c";1480205001626;24;"f";"is_certainly unlikely";NA;NA;7;2662;NA
97;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234627108;1;"c";"is possible";6;3;NA;15953;63
98;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234645836;2;"f";"is_certainly unlikely";NA;NA;5;18724;NA
99;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234654550;3;"c";"is likely";5;5;NA;8711;55
100;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234662218;4;"f";"might_be unlikely";NA;NA;5;7665;NA
101;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234674765;5;"c";"is unlikely";5;4;NA;12545;54
102;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234680627;6;"f";"is likely";NA;NA;5;5856;NA
103;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234694646;7;"c";"might_be likely";5;2;NA;14016;52
104;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234697999;8;"f";"is possible";NA;NA;5;3350;NA
105;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234720597;9;"c";"is_certainly possible";6;3;NA;22594;63
106;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234725249;10;"f";"is_certainly likely";NA;NA;5;4649;NA
107;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234751584;11;"c";"is_certainly unlikely";9;9;NA;26332;99
108;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234755474;12;"f";"is_probably unlikely";NA;NA;9;3887;NA
109;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234768622;13;"c";"is_probably possible";7;3;NA;13144;73
110;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234773057;14;"f";"is_certainly possible";NA;NA;5;4433;NA
111;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234785497;15;"c";"might_be possible";6;3;NA;12437;63
112;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234788475;16;"f";"is_probably possible";NA;NA;5;2974;NA
113;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234801653;17;"c";"is_probably likely";7;0;NA;13176;70
114;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234805304;18;"f";"is_probably likely";NA;NA;5;3648;NA
115;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234817887;19;"c";"is_certainly likely";8;7;NA;12580;87
116;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234823786;20;"f";"might_be possible";NA;NA;5;5896;NA
117;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234837536;21;"c";"is_probably unlikely";7;5;NA;13747;75
118;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234840266;22;"f";"is unlikely";NA;NA;5;2727;NA
119;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234850491;23;"c";"might_be unlikely";6;4;NA;10222;64
120;"5b6e292c2c1a963561eb3270714c5d3423d7c538f458254b85a02d9ff81adfb6";1480234855871;24;"f";"might_be likely";NA;NA;5;5378;NA
121;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202117521;1;"c";"is_probably likely";4;2;NA;68165;42
122;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202139912;2;"f";"is_certainly unlikely";NA;NA;3;22390;NA
123;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202172225;3;"c";"is_certainly possible";5;3;NA;32310;53
124;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202219128;4;"f";"might_be likely";NA;NA;3;46902;NA
125;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202238032;5;"c";"is_probably possible";5;2;NA;18902;52
126;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202253464;6;"f";"is_probably possible";NA;NA;3;15430;NA
127;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202271080;7;"c";"might_be likely";5;2;NA;17614;52
128;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202286800;8;"f";"is unlikely";NA;NA;2;15718;NA
129;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202296368;9;"c";"might_be possible";4;3;NA;9566;43
130;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202312592;10;"f";"is likely";NA;NA;4;16223;NA
131;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202325784;11;"c";"is likely";5;1;NA;13190;51
132;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202337112;12;"f";"might_be unlikely";NA;NA;2;11325;NA
133;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202352567;13;"c";"might_be unlikely";4;3;NA;15454;43
134;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202363848;14;"f";"is_certainly possible";NA;NA;4;11278;NA
135;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202372535;15;"c";"is unlikely";4;1;NA;8686;41
136;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202406144;16;"f";"is_certainly likely";NA;NA;4;33606;NA
137;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202428695;17;"c";"is_probably unlikely";4;3;NA;22550;43
138;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202448352;18;"f";"is possible";NA;NA;2;19655;NA
139;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202464848;19;"c";"is_certainly unlikely";4;4;NA;16493;44
140;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202476080;20;"f";"is_probably unlikely";NA;NA;2;11230;NA
141;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202489008;21;"c";"is possible";4;2;NA;12926;42
142;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202502416;22;"f";"is_probably likely";NA;NA;3;13406;NA
143;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202516232;23;"c";"is_certainly likely";4;0;NA;13815;40
144;"c973896b5c210f5a4c04591bfd773ff95a148ce607948358aa9503d040a728fc";1480202527280;24;"f";"might_be possible";NA;NA;4;11046;NA
169;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195109111;1;"c";"is_certainly possible";6;4;NA;11495;64
170;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195126403;2;"f";"is unlikely";NA;NA;3;17292;NA
171;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195133692;3;"c";"might_be likely";6;2;NA;7280;62
172;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195138392;4;"f";"might_be unlikely";NA;NA;5;4696;NA
173;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195144864;5;"c";"is_certainly unlikely";6;1;NA;6469;61
174;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195154673;6;"f";"is_certainly unlikely";NA;NA;3;9809;NA
175;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195164580;7;"c";"is unlikely";4;1;NA;9903;41
176;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195211036;8;"f";"might_be possible";NA;NA;6;46452;NA
177;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195218019;9;"c";"is possible";6;3;NA;6971;63
178;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195222862;10;"f";"is possible";NA;NA;6;4839;NA
179;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195245020;11;"c";"is_probably likely";6;4;NA;22154;64
180;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195250233;12;"f";"is likely";NA;NA;7;5205;NA
181;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195261182;13;"c";"is_probably possible";6;3;NA;10945;63
182;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195269113;14;"f";"is_certainly possible";NA;NA;5;7919;NA
183;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195283465;15;"c";"is_certainly likely";6;4;NA;14352;64
184;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195289517;16;"f";"is_probably likely";NA;NA;7;6048;NA
185;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195294793;17;"c";"is_probably unlikely";4;1;NA;5272;41
186;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195300222;18;"f";"is_probably unlikely";NA;NA;3;5425;NA
187;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195321276;19;"c";"is likely";7;4;NA;21046;74
188;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195348225;20;"f";"might_be likely";NA;NA;6;26945;NA
189;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195354063;21;"c";"might_be possible";6;3;NA;5826;63
190;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195361962;22;"f";"is_certainly likely";NA;NA;7;7895;NA
191;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195414970;23;"c";"might_be unlikely";6;2;NA;53004;62
192;"403c70529dc210d3995a4e2cd24b4da276802562c8adee71a9760472a4e3b657";1480195418925;24;"f";"is_probably possible";NA;NA;7;3939;NA
193;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269314632;1;"c";"is unlikely";9;5;NA;16184;95
194;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269326374;2;"f";"might_be likely";NA;NA;5;11740;NA
195;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269337224;3;"c";"is possible";4;2;NA;10848;42
196;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269350296;4;"f";"is_certainly unlikely";NA;NA;0;13070;NA
197;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269359736;5;"c";"is_probably possible";2;1;NA;9438;21
198;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269364982;6;"f";"might_be possible";NA;NA;5;5242;NA
199;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269378179;7;"c";"might_be unlikely";4;1;NA;13195;41
200;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269384238;8;"f";"is_probably possible";NA;NA;7;6058;NA
201;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269392754;9;"c";"might_be possible";4;3;NA;8514;43
202;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269398487;10;"f";"is possible";NA;NA;5;5731;NA
203;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269407399;11;"c";"is_probably likely";3;1;NA;8910;31
204;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269413704;12;"f";"is unlikely";NA;NA;2;6304;NA
205;"13bb389e22d12a6fdeca691242d58d60f2389a372080765a8a972039c9781fc1";1480269422626;13;"c";"is_probably unlikely";6;2;NA;8920;62
